Month,T-Bills,SP500,MMM,JNJ,PG,WMT
2010/4/1,0.0015,-0.081975916,-0.100012182,-0.08499221,-0.017177262,-0.051950677
2010/5/1,0.0015,-0.053882377,-0.004060639,0.013053348,-0.018198198,-0.049253731
2010/6/1,0.0008,0.068777833,0.083038869,-0.01643324,0.027711507,0.065037004
2010/7/1,0.0016,-0.047449165,-0.076044673,-0.009303209,-0.024464286,-0.014950516
2010/8/1,0.0015,0.087551104,0.103897868,0.086814872,0.005125389,0.067550235
2010/9/1,0.0012,0.036855941,-0.028666339,0.02856639,0.068111455,0.012014417
2010/10/1,0.0014,-0.002290283,0.003419886,-0.025887194,-0.039215686,-0.001385042
2010/11/1,0.0013,0.065300072,0.027644534,0.004751848,0.053238687,0.002575788
2010/12/1,0.0008,0.02264559,0.018670925,-0.033631109,-0.011288964,0.03972332
2011/1/1,0.0014,0.031956583,0.055347884,0.037339134,-0.001363327,-0.072989926
2011/2/1,0.0011,-0.001047302,0.013825411,-0.03564564,-0.022866894,0.008406807
2011/3/1,0.0006,0.028495358,0.039670912,0.109077731,0.062172546,0.056120374
2011/4/1,0.0003,-0.013500928,-0.023414634,0.032837772,0.032390661,0.011166731
2011/5/1,0.0002,-0.018257508,0.004995005,-0.011388801,-0.05112279,-0.037699924
2011/6/1,0.0002,-0.021474437,-0.081290038,-0.02608,-0.024840551,-0.008112386
2011/7/1,0.0004,-0.056791098,-0.041356095,0.024642681,0.035628227,0.016357471
2011/8/1,0.0002,-0.071762013,-0.134813143,-0.032066699,-0.007811202,-0.024141315
2011/9/1,0,0.107723038,0.100739238,0.010932582,0.021105528,0.092719228
2011/10/1,0.0001,-0.005058645,0.032789044,0.014582992,0.00902231,0.038468618
2011/11/1,0.0001,0.008532752,0.008542649,0.013242894,0.033165339,0.020914569
2011/12/1,0,0.043583015,0.060935525,0.004941026,-0.047521637,0.026736111
2012/1/1,0.0002,0.04058945,0.017040038,-0.003806503,0.072691227,-0.037030774
2012/2/1,0.0006,0.031332377,0.018394845,0.013532877,-0.006160481,0.042844601
2012/3/1,0.0006,-0.007497497,0.001725725,-0.013038014,-0.045095305,-0.037548409
2012/4/1,0.0007,-0.062650671,-0.048926151,-0.031672768,-0.021097046,0.124912526
2012/5/1,0.0007,0.039554921,0.061466007,0.082182774,-0.016744032,0.059253499
2012/6/1,0.0005,0.012597639,0.018202503,0.024605103,0.062889901,0.067537806
2012/7/1,0.0007,0.019763362,0.021564246,-0.017047139,0.040926396,-0.019254573
2012/8/1,0.0009,0.02423609,-0.001968719,0.021866988,0.032307223,0.016547469
2012/9/1,0.0007,-0.019789404,-0.052164384,0.027744982,0.006495424,0.016554007
2012/10/1,0.0011,0.002846703,0.045091918,-0.006605399,0.008506894,-0.040032569
2012/11/1,0.0013,0.007068311,0.020909393,0.005203816,-0.027777778,-0.047356517
2012/12/1,0.0004,0.050428064,0.08289987,0.054501007,0.116080778,0.025226295
2013/1/1,0.0005,0.011060603,0.04072851,0.037910814,0.013537059,0.011868577
2013/2/1,0.0008,0.035987799,0.022211538,0.071212718,0.011637133,0.063939351
2013/3/1,0.0008,0.018085764,-0.015050325,0.045382068,0.003529412,0.038720086
2013/4/1,0.0005,0.022659414,0.055295578,0.007274434,0.023707177,0.016049702
